englishWord,vietnameseWord,pronunciation,partOfSpeech,definitions,examples,synonyms,topics,level
apple,quả táo,/ˈæp.əl/,noun,"a round fruit with red, green, or yellow skin","I eat an apple every morning.",fruit,food;daily-life,2
book,sách,/bʊk/,noun,"a written work printed on pages","This book is very interesting.",publication,education;daily-life,2
learn,học,/lɜːn/,verb,"to gain knowledge or skill","I want to learn English faster.",study,education;self-improvement,3
happy,vui vẻ,/ˈhæp.i/,adjective,"feeling pleasure and joy","She feels happy today.",glad;cheerful,emotion;daily-life,2
travel,du lịch,/ˈtræv.əl/,verb,"to go from one place to another","We plan to travel next month.",journey;trip,lifestyle;movement,3
beautiful,đẹp,/ˈbjuː.tɪ.fəl/,adjective,"pleasing the senses or mind","The beach is beautiful at sunset.",pretty;attractive,description;daily-life,2
difficult,khó,/ˈdɪf.ɪ.kəlt/,adjective,"needing much effort or skill","Math can be difficult for beginners.",hard;challenging,education;work,4
improve,cải thiện,/ɪmˈpruːv/,verb,"to make something better","Practice helps improve pronunciation.",enhance;upgrade,self-improvement;education,3
friend,bạn bè,/frend/,noun,"a person you know and like","My friend lives near my house.",companion;buddy,relationship;daily-life,1
family,gia đình,/ˈfæm.əl.i/,noun,"a group of related people","Family is important to me.",relatives,relationship;daily-life,1
weather,thời tiết,/ˈweð.ər/,noun,"the condition of the atmosphere","The weather is sunny today.",climate,nature;daily-life,2
quick,nhanh,/kwɪk/,adjective,"moving fast or taking little time","She gave a quick answer.",fast;rapid,description;work,2
slow,chậm,/sləʊ/,adjective,"moving with little speed","The internet is slow tonight.",sluggish;unhurried,description;technology,2
create,tạo ra,/kriˈeɪt/,verb,"to make something new","Artists create amazing paintings.",make;produce,work;creativity,3
choose,chọn,/tʃuːz/,verb,"to decide which thing you want","Choose one topic to practice today.",select;pick,decision;daily-life,2
remember,nhớ,/rɪˈmem.bər/,verb,"to keep something in your memory","I remember your birthday.",recall,memory;learning,3
forget,quên,/fəˈɡet/,verb,"to fail to remember","Do not forget your homework.",overlook,memory;learning,3
practice,luyện tập,/ˈpræk.tɪs/,verb,"to do something repeatedly to improve","Practice speaking every day.",train;rehearse,learning;self-improvement,2
sentence,câu,/ˈsen.təns/,noun,"a set of words expressing a complete thought","Write one sentence for each word.",statement,language;education,2
vocabulary,từ vựng,/vəˈkæb.jə.lər.i/,noun,"the words known or used by a person","Reading helps expand your vocabulary.",lexicon,language;education,4
